num nodes, num edges, hop count, average neighbors,num nodes one neighbor
10, 28, 9.170000, 5.600000, 0, 
11, 28, 13.700000, 5.090909, 1, 
12, 34, 15.808333, 5.666667, 0, 
13, 25, 27.276923, 3.846154, 1, 
14, 40, 18.142857, 5.714286, 0, 
15, 27, 26.606667, 3.600000, 1, 
16, 51, 25.256250, 6.375000, 0, 
17, 37, 19.541176, 4.352941, 1, 
18, 31, 26.750000, 3.444444, 1, 
19, 59, 26.710526, 6.210526, 1, 
20, 36, 39.520000, 3.600000, 0, 
21, 64, 25.185714, 6.095238, 2, 
22, 43, 31.040909, 3.909091, 0, 
23, 51, 46.834783, 4.434783, 0, 
24, 57, 44.625000, 4.750000, 1, 
25, 51, 56.188000, 4.080000, 1, 
26, 48, 61.700000, 3.692308, 1, 
27, 87, 46.896296, 6.444444, 2, 
28, 68, 54.553571, 4.857143, 0, 
29, 120, 50.879310, 8.275862, 1, 
30, 63, 71.586667, 4.200000, 1, 
31, 105, 44.761290, 6.774194, 0, 
32, 77, 65.359375, 4.812500, 3, 
33, 120, 79.451515, 7.272727, 2, 
34, 100, 81.764706, 5.882353, 0, 
35, 119, 61.260000, 6.800000, 1, 
36, 81, 68.800000, 4.500000, 1, 
37, 153, 60.197297, 8.270270, 1, 
38, 111, 92.892105, 5.842105, 1, 
39, 134, 105.371795, 6.871795, 0, 
40, 179, 55.360000, 8.950000, 0, 
41, 182, 60.343902, 8.878049, 0, 
42, 174, 49.669048, 8.285714, 0, 
43, 158, 72.590698, 7.348837, 0, 
44, 137, 90.400000, 6.227273, 0, 
45, 144, 84.537778, 6.400000, 0, 
46, 207, 59.958696, 9.000000, 0, 
47, 154, 92.889362, 6.553191, 1, 
48, 174, 77.345833, 7.250000, 2, 
49, 189, 88.448980, 7.714286, 0, 
50, 159, 151.130000, 6.360000, 1, 
